"citation","Experimental System","Experimental System Type","interaction","Modification","name","Phenotypes","Qualifications","Score","selected","shared interaction","shared name","Throughput"
"pubmed:28515276","Affinity Capture-MS","physical","interacts-with","","PRPF8 (interacts-with) RPS27A","","",,"false","interacts-with","PRPF8 (interacts-with) RPS27A","High Throughput"
"pubmed:25416956|pubmed:32296183","Two-hybrid","physical","interacts-with","","KRTAP5-9 (interacts-with) KRTAP4-11","","This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,"false","interacts-with","KRTAP5-9 (interacts-with) KRTAP4-11","High Throughput"
"pubmed:35271311","Affinity Capture-MS","physical","interacts-with","","YWHAZ (interacts-with) CLIP1","","Bait generated from library of CRISPR-edited human embryonic kidney (HEK) 293T cell lines harboring fluorescent tags on individual proteins",,"false","interacts-with","YWHAZ (interacts-with) CLIP1","High Throughput"
"pubmed:14594813|pubmed:30033366","Biochemical Activity|Negative Genetic","physical|genetic","interacts-with","Phosphorylation","TRPM7 (interacts-with) TRPM7","Growth abnormality","CRISPR GI screen|Cell Line: K562 EFO:0002067/Jurkat EFO:0002796|Experimental Setup: Timecourse|GIST: A-phenotypic negative/positive genetic interaction|Interactions in this CRISPR interference (CRISPRi) analysis were considered to be significant when GI <= -3 (negative genetic interaction) or GI >= 3 (positive genetic interaction).|Jurkat cell line Replicate Average GI score = -4.708983561|K562 cell line Replicate Average GI score = -3.480573256|Library: CRISPRi v1|Significance Threshold: (positive genetic interaction) 3<GI<-3 (negative genetic interaction)",,"false","interacts-with","TRPM7 (interacts-with) TRPM7","Low Throughput|High Throughput"
"pubmed:28611215","Affinity Capture-RNA","physical","interacts-with","","HNRNPL (interacts-with) INF2","","",,"false","interacts-with","HNRNPL (interacts-with) INF2","High Throughput"
"pubmed:28611215","Affinity Capture-RNA","physical","interacts-with","","HNRNPL (interacts-with) CSMD1","","",,"false","interacts-with","HNRNPL (interacts-with) CSMD1","High Throughput"
"pubmed:33961781","Affinity Capture-MS","physical","interacts-with","","KLC3 (interacts-with) RGPD8","","BioPlex HCT HCT116 cells CompPASS score = 0.999998954, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","0.999998954","false","interacts-with","KLC3 (interacts-with) RGPD8","High Throughput"
"pubmed:25416956|pubmed:32296183","Two-hybrid","physical","interacts-with","","KRT5 (interacts-with) KRT38","","This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,"false","interacts-with","KRT5 (interacts-with) KRT38","High Throughput"
"pubmed:26496610","Affinity Capture-MS","physical","interacts-with","","Ckap5 (interacts-with) KRT5","","interaction detected by quantitative BAC-GFP interactomics (QUBIC)",,"false","interacts-with","Ckap5 (interacts-with) KRT5","High Throughput"
"pubmed:31180492","Affinity Capture-MS","physical","interacts-with","","FANCD2 (interacts-with) EPPK1","","hit proteins associated with FANCD2 and were '...at least 1.5-fold higher abundance in the FANCD2 pull-down compared to IgG from synchronized and APH (aphidicolin) treated cells in more than half of the experiments from which they were identified' but were not '...also enriched at least 1.5-fold in the FANCD2 pull-down from synchronized cells treated with APH (aphidicolin) ... compared to untreated asynchronous cells...'",,"false","interacts-with","FANCD2 (interacts-with) EPPK1","High Throughput"
"pubmed:25416956|pubmed:25910212|pubmed:29892012|pubmed:32296183","Two-hybrid","physical","interacts-with","","KRT6A (interacts-with) KRT38","","this interaction was found to remain intact in the case of at least one bait protein mutation as part of an assessment of the effect on protein-protein interactions of autism-spectrum disorder mutations in the bait proteins|This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,"false","interacts-with","KRT6A (interacts-with) KRT38","High Throughput"
"pubmed:25132672","Affinity Capture-Western","physical","interacts-with","","HLA-B (interacts-with) HLA-B","","HLA-B27 alleles form misfolded heavy chain dimers",,"false","interacts-with","HLA-B (interacts-with) HLA-B","Low Throughput"
"pubmed:35271311","Affinity Capture-MS","physical","interacts-with","","YWHAZ (interacts-with) CAD","","Bait generated from library of CRISPR-edited human embryonic kidney (HEK) 293T cell lines harboring fluorescent tags on individual proteins",,"false","interacts-with","YWHAZ (interacts-with) CAD","High Throughput"
"pubmed:25416956|pubmed:32296183","Two-hybrid","physical","interacts-with","","KRT6B (interacts-with) KRT38","","This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,"false","interacts-with","KRT6B (interacts-with) KRT38","High Throughput"
"pubmed:31636387","Affinity Capture-MS","physical","interacts-with","","RBBP8 (interacts-with) HSP90AB1","","",,"false","interacts-with","RBBP8 (interacts-with) HSP90AB1","High Throughput"
"pubmed:28611215","Affinity Capture-RNA","physical","interacts-with","","HNRNPL (interacts-with) WNK2","","",,"false","interacts-with","HNRNPL (interacts-with) WNK2","High Throughput"
"pubmed:28675297","Affinity Capture-MS","physical","interacts-with","","DUSP2 (interacts-with) SNRNP200","","",,"false","interacts-with","DUSP2 (interacts-with) SNRNP200","High Throughput"
"pubmed:33961781","Affinity Capture-MS","physical","interacts-with","","SLC7A1 (interacts-with) NCR3LG1","","BioPlex 3.0 HEK 293T cells CompPASS score = 0.804246288, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","0.804246288","false","interacts-with","SLC7A1 (interacts-with) NCR3LG1","High Throughput"
"pubmed:33961781","Affinity Capture-MS","physical","interacts-with","","KRT38 (interacts-with) C17orf70","","BioPlex 3.0 HEK 293T cells CompPASS score = 0.999156625, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","0.999156625","false","interacts-with","KRT38 (interacts-with) C17orf70","High Throughput"
"pubmed:28515276","Affinity Capture-MS","physical","interacts-with","","PRPF8 (interacts-with) YWHAZ","","",,"false","interacts-with","PRPF8 (interacts-with) YWHAZ","High Throughput"
"pubmed:25416956|pubmed:29892012|pubmed:32296183","Two-hybrid","physical","interacts-with","","KRT8 (interacts-with) KRT38","","this interaction was found to remain intact in the case of at least one bait protein mutation as part of an assessment of the effect on protein-protein interactions of autism-spectrum disorder mutations in the bait proteins|This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,"false","interacts-with","KRT8 (interacts-with) KRT38","High Throughput"
"pubmed:28515276","Affinity Capture-MS","physical","interacts-with","","PRPF8 (interacts-with) EZR","","",,"false","interacts-with","PRPF8 (interacts-with) EZR","High Throughput"
"pubmed:26638075","Proximity Label-MS","physical","interacts-with","","TMEM216 (interacts-with) GBA2","","BioID",,"false","interacts-with","TMEM216 (interacts-with) GBA2","High Throughput"
"pubmed:11577104","Affinity Capture-Western","physical","interacts-with","","GSN (interacts-with) VCL","","",,"false","interacts-with","GSN (interacts-with) VCL","Low Throughput"
"pubmed:26186194|pubmed:28514442","Affinity Capture-MS","physical","interacts-with","","TBC1D3 (interacts-with) TBC1D3F","","BioPlex 1.0 HEK 293T cells CompPASS score = 0.999999997, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.|BioPlex 2.0 HEK 293T cells CompPASS score = 0.999999992, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.","0.999999997|0.999999992","false","interacts-with","TBC1D3 (interacts-with) TBC1D3F","High Throughput"
"pubmed:32416067","Affinity Capture-MS","physical","interacts-with","","BRD4 (interacts-with) PLEC","","",,"false","interacts-with","BRD4 (interacts-with) PLEC","High Throughput"
"pubmed:26344197","Co-fractionation","physical","interacts-with","","SNRNP200 (interacts-with) SF3A3","","Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.","0.328157233","false","interacts-with","SNRNP200 (interacts-with) SF3A3","High Throughput"
"pubmed:33961781","Affinity Capture-MS","physical","interacts-with","","APBA2 (interacts-with) RLIM","","BioPlex 3.0 HEK 293T cells CompPASS score = 0.793830478, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","0.793830478","false","interacts-with","APBA2 (interacts-with) RLIM","High Throughput"
"pubmed:25416956","Two-hybrid","physical","interacts-with","","KRT38 (interacts-with) ZNF587","","",,"false","interacts-with","KRT38 (interacts-with) ZNF587","High Throughput"
"pubmed:8538749","Biochemical Activity","physical","interacts-with","Phosphorylation","ILK (interacts-with) ILK","","",,"false","interacts-with","ILK (interacts-with) ILK","Low Throughput"
"pubmed:35271311","Affinity Capture-MS","physical","interacts-with","","YWHAZ (interacts-with) PRKD2","","Bait generated from library of CRISPR-edited human embryonic kidney (HEK) 293T cell lines harboring fluorescent tags on individual proteins",,"false","interacts-with","YWHAZ (interacts-with) PRKD2","High Throughput"
"pubmed:28611215","Affinity Capture-RNA","physical","interacts-with","","HNRNPL (interacts-with) MYH14","","",,"false","interacts-with","HNRNPL (interacts-with) MYH14","High Throughput"
"pubmed:31180492","Affinity Capture-MS","physical","interacts-with","","FANCD2 (interacts-with) BAZ1B","","hit proteins associated with FANCD2 and were '...at least 1.5-fold higher abundance in the FANCD2 pull-down compared to IgG from synchronized and APH (aphidicolin) treated cells in more than half of the experiments from which they were identified' but were not '...also enriched at least 1.5-fold in the FANCD2 pull-down from synchronized cells treated with APH (aphidicolin) ... compared to untreated asynchronous cells...'",,"false","interacts-with","FANCD2 (interacts-with) BAZ1B","High Throughput"
"pubmed:30021884","Proximity Label-MS","physical","interacts-with","","RPL10 (interacts-with) SRRM2","","interaction identified using XL-MS (cross-linking mass spectrometry): TX100-insoluble fractions from cells were treated with cross-linker and cross-linked proteins were identified by mass-spectrometry; interaction is undirectional; therefore bait and prey/hit have been assigned arbitrarily; interactions with FDRs (false discovery rates) of 1% or less were reported; this interaction was not detected in parallel experiments using unfractionated cells or TX100-soluble fractions",,"false","interacts-with","RPL10 (interacts-with) SRRM2","High Throughput"
"pubmed:25416956|pubmed:32296183","Two-hybrid","physical","interacts-with","","KRT38 (interacts-with) KRT6C","","This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,"false","interacts-with","KRT38 (interacts-with) KRT6C","High Throughput"
"pubmed:31180492","Affinity Capture-MS","physical","interacts-with","","FANCD2 (interacts-with) ITPR1","","hit proteins associated with FANCD2 and were '...at least 1.5-fold higher abundance in the FANCD2 pull-down compared to IgG from synchronized and APH (aphidicolin) treated cells in more than half of the experiments from which they were identified' but were not '...also enriched at least 1.5-fold in the FANCD2 pull-down from synchronized cells treated with APH (aphidicolin) ... compared to untreated asynchronous cells...'",,"false","interacts-with","FANCD2 (interacts-with) ITPR1","High Throughput"
"pubmed:24981860","Affinity Capture-MS","physical","interacts-with","","FLG (interacts-with) FLG2","","Affinity Capture MS carried out to identify high confidence protein interactions with a iHGSCore < 11","12.31719596","false","interacts-with","FLG (interacts-with) FLG2","High Throughput"
"pubmed:32296183","Two-hybrid","physical","interacts-with","","KRTAP4-5 (interacts-with) KPRP","","This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,"false","interacts-with","KRTAP4-5 (interacts-with) KPRP","High Throughput"
"pubmed:30021884","Proximity Label-MS","physical","interacts-with","","ADH6 (interacts-with) PLEC","","interaction identified using XL-MS (cross-linking mass spectrometry): TX100-insoluble fractions from cells were treated with cross-linker and cross-linked proteins were identified by mass-spectrometry; interaction is undirectional; therefore bait and prey/hit have been assigned arbitrarily; interactions with FDRs (false discovery rates) of 1% or less were reported; this interaction was not detected in parallel experiments using unfractionated cells or TX100-soluble fractions",,"false","interacts-with","ADH6 (interacts-with) PLEC","High Throughput"
"pubmed:32296183","Two-hybrid","physical","interacts-with","","KRTAP4-5 (interacts-with) KRTAP5-2","","This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,"false","interacts-with","KRTAP4-5 (interacts-with) KRTAP5-2","High Throughput"
"pubmed:31180492","Affinity Capture-MS","physical","interacts-with","","FANCD2 (interacts-with) TOP2B","","hit proteins associated with FANCD2 and were both '...at least 1.5-fold higher abundance in the FANCD2 pull-down compared to IgG from synchronized and APH (aphidicolin) treated cells in more than half of the experiments from which they were identified' and were '...also enriched at least 1.5-fold in the FANCD2 pull-down from synchronized cells treated with APH (aphidicolin) ... compared to untreated asynchronous cells...'",,"false","interacts-with","FANCD2 (interacts-with) TOP2B","High Throughput"
"pubmed:33961781","Affinity Capture-MS","physical","interacts-with","","OR10H1 (interacts-with) PDE4DIP","","BioPlex 3.0 HEK 293T cells CompPASS score = 0.998836486, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","0.998836486","false","interacts-with","OR10H1 (interacts-with) PDE4DIP","High Throughput"
"pubmed:28514442|pubmed:33961781","Affinity Capture-MS","physical","interacts-with","","GPC1 (interacts-with) ATP2B4","","BioPlex 2.0 HEK 293T cells CompPASS score = 0.994688868, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.|BioPlex 3.0 HEK 293T cells CompPASS score = 0.996910514, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","0.994688868|0.996910514","false","interacts-with","GPC1 (interacts-with) ATP2B4","High Throughput"
"pubmed:33961781","Affinity Capture-MS","physical","interacts-with","","KRT38 (interacts-with) APC","","BioPlex 3.0 HEK 293T cells CompPASS score = 0.982539977, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","0.982539977","false","interacts-with","KRT38 (interacts-with) APC","High Throughput"
"pubmed:31180492","Affinity Capture-MS","physical","interacts-with","","FANCD2 (interacts-with) SVIL","","hit proteins associated with FANCD2 and were '...at least 1.5-fold higher abundance in the FANCD2 pull-down compared to IgG from synchronized and APH (aphidicolin) treated cells in more than half of the experiments from which they were identified' but were not '...also enriched at least 1.5-fold in the FANCD2 pull-down from synchronized cells treated with APH (aphidicolin) ... compared to untreated asynchronous cells...'",,"false","interacts-with","FANCD2 (interacts-with) SVIL","High Throughput"
"pubmed:35271311","Affinity Capture-MS","physical","interacts-with","","YWHAZ (interacts-with) DENND1A","","Bait generated from library of CRISPR-edited human embryonic kidney (HEK) 293T cell lines harboring fluorescent tags on individual proteins",,"false","interacts-with","YWHAZ (interacts-with) DENND1A","High Throughput"
"pubmed:32296183","Two-hybrid","physical","interacts-with","","KRTAP4-5 (interacts-with) KRTAP10-7","","This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,"false","interacts-with","KRTAP4-5 (interacts-with) KRTAP10-7","High Throughput"
"pubmed:22863883","Co-fractionation","physical","interacts-with","","LDHB (interacts-with) PAK2","","",,"false","interacts-with","LDHB (interacts-with) PAK2","High Throughput"
"pubmed:31180492","Affinity Capture-MS","physical","interacts-with","","FANCD2 (interacts-with) C17orf70","","hit proteins associated with FANCD2 and were both '...at least 1.5-fold higher abundance in the FANCD2 pull-down compared to IgG from synchronized and APH (aphidicolin) treated cells in more than half of the experiments from which they were identified' and were '...also enriched at least 1.5-fold in the FANCD2 pull-down from synchronized cells treated with APH (aphidicolin) ... compared to untreated asynchronous cells...'",,"false","interacts-with","FANCD2 (interacts-with) C17orf70","High Throughput"
"pubmed:26638075","Proximity Label-MS","physical","interacts-with","","TMEM216 (interacts-with) RAB7A","","BioID",,"false","interacts-with","TMEM216 (interacts-with) RAB7A","High Throughput"
"pubmed:12393632","Affinity Capture-Western","physical","interacts-with","","DOCK2 (interacts-with) VAV1","","",,"false","interacts-with","DOCK2 (interacts-with) VAV1","Low Throughput"
"pubmed:22863883","Co-fractionation","physical","interacts-with","","YWHAZ (interacts-with) PAK2","","",,"false","interacts-with","YWHAZ (interacts-with) PAK2","High Throughput"
"pubmed:30639242|pubmed:34079125","Proximity Label-MS","physical","interacts-with","","KRAS (interacts-with) ITGA2","","BioID|SAINTexpress (v.3.6.1) was used to identify proximity interactions and those with a Bayesian FDR =< 0.01 were considered high confidence. The score represents the fold change of the average spectral count in sample replicates relative to the average in control replicates.",,"false","interacts-with","KRAS (interacts-with) ITGA2","High Throughput"
"pubmed:32296183","Two-hybrid","physical","interacts-with","","KRTAP4-5 (interacts-with) LCE1F","","This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,"false","interacts-with","KRTAP4-5 (interacts-with) LCE1F","High Throughput"
"pubmed:35271311","Affinity Capture-MS","physical","interacts-with","","YWHAZ (interacts-with) WASF3","","Bait generated from library of CRISPR-edited human embryonic kidney (HEK) 293T cell lines harboring fluorescent tags on individual proteins",,"false","interacts-with","YWHAZ (interacts-with) WASF3","High Throughput"
"pubmed:28515276","Affinity Capture-MS","physical","interacts-with","","PRPF8 (interacts-with) SMC4","","",,"false","interacts-with","PRPF8 (interacts-with) SMC4","High Throughput"
"pubmed:21988832","Two-hybrid","physical","interacts-with","","CLU (interacts-with) RBBP8","","",,"false","interacts-with","CLU (interacts-with) RBBP8","High Throughput"
"pubmed:32296183","Two-hybrid","physical","interacts-with","","KRTAP4-5 (interacts-with) KRTAP5-9","","This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,"false","interacts-with","KRTAP4-5 (interacts-with) KRTAP5-9","High Throughput"
"pubmed:32416067","Affinity Capture-MS","physical","interacts-with","","BRD4 (interacts-with) PRIM2","","",,"false","interacts-with","BRD4 (interacts-with) PRIM2","High Throughput"
"pubmed:31239290","Affinity Capture-MS","physical","interacts-with","","BRD4 (interacts-with) BMS1","","",,"false","interacts-with","BRD4 (interacts-with) BMS1","High Throughput"
"pubmed:24981860","Affinity Capture-MS","physical","interacts-with","","KMT2C (interacts-with) ATN1","","Affinity Capture MS carried out to identify high confidence protein interactions with a iHGSCore < 11","12.28843053","false","interacts-with","KMT2C (interacts-with) ATN1","High Throughput"
"pubmed:31239290|pubmed:32416067","Affinity Capture-MS","physical","interacts-with","","BRD4 (interacts-with) CAD","","",,"false","interacts-with","BRD4 (interacts-with) CAD","High Throughput"
"pubmed:31180492","Affinity Capture-MS","physical","interacts-with","","FANCD2 (interacts-with) SMC4","","hit proteins associated with FANCD2 and were both '...at least 1.5-fold higher abundance in the FANCD2 pull-down compared to IgG from synchronized and APH (aphidicolin) treated cells in more than half of the experiments from which they were identified' and were '...also enriched at least 1.5-fold in the FANCD2 pull-down from synchronized cells treated with APH (aphidicolin) ... compared to untreated asynchronous cells...'",,"false","interacts-with","FANCD2 (interacts-with) SMC4","High Throughput"
"pubmed:28611215","Affinity Capture-RNA","physical","interacts-with","","HNRNPL (interacts-with) OBSCN","","",,"false","interacts-with","HNRNPL (interacts-with) OBSCN","High Throughput"
"pubmed:33961781","Affinity Capture-MS","physical","interacts-with","","POTEG (interacts-with) POTEF","","BioPlex 3.0 HEK 293T cells CompPASS score = 0.999989598, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","0.999989598","false","interacts-with","POTEG (interacts-with) POTEF","High Throughput"
"pubmed:26496610","Affinity Capture-MS","physical","interacts-with","","HUWE1 (interacts-with) NNT","","interaction detected by quantitative BAC-GFP interactomics (QUBIC)",,"false","interacts-with","HUWE1 (interacts-with) NNT","High Throughput"
"pubmed:14576350|pubmed:11590143","Affinity Capture-Western|Reconstituted Complex|Two-hybrid","physical","interacts-with","","FHOD1 (interacts-with) FHOD1","","",,"false","interacts-with","FHOD1 (interacts-with) FHOD1","Low Throughput"
"pubmed:28611215","Affinity Capture-RNA","physical","interacts-with","","HNRNPL (interacts-with) CHD6","","",,"false","interacts-with","HNRNPL (interacts-with) CHD6","High Throughput"
"pubmed:28611215","Affinity Capture-RNA","physical","interacts-with","","HNRNPL (interacts-with) NLRC5","","",,"false","interacts-with","HNRNPL (interacts-with) NLRC5","High Throughput"
"pubmed:32416067","Affinity Capture-MS","physical","interacts-with","","BRD4 (interacts-with) RRBP1","","",,"false","interacts-with","BRD4 (interacts-with) RRBP1","High Throughput"
"pubmed:9275169","Two-hybrid","physical","interacts-with","","ADCY5 (interacts-with) ADCY5","","",,"false","interacts-with","ADCY5 (interacts-with) ADCY5","Low Throughput"
"pubmed:28515276","Affinity Capture-MS","physical","interacts-with","","PRPF8 (interacts-with) SF3A3","","",,"false","interacts-with","PRPF8 (interacts-with) SF3A3","High Throughput"
"pubmed:31180492","Affinity Capture-MS","physical","interacts-with","","FANCD2 (interacts-with) FANCD2","","hit proteins associated with FANCD2 and were both '...at least 1.5-fold higher abundance in the FANCD2 pull-down compared to IgG from synchronized and APH (aphidicolin) treated cells in more than half of the experiments from which they were identified' and were '...also enriched at least 1.5-fold in the FANCD2 pull-down from synchronized cells treated with APH (aphidicolin) ... compared to untreated asynchronous cells...'",,"false","interacts-with","FANCD2 (interacts-with) FANCD2","High Throughput"
"pubmed:29568061","Affinity Capture-MS","physical","interacts-with","","EZR (interacts-with) SLC25A5","","",,"false","interacts-with","EZR (interacts-with) SLC25A5","High Throughput"
"pubmed:32296183","Two-hybrid","physical","interacts-with","","ZNF587 (interacts-with) KPRP","","This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,"false","interacts-with","ZNF587 (interacts-with) KPRP","High Throughput"
"pubmed:28611215","Affinity Capture-RNA","physical","interacts-with","","HNRNPL (interacts-with) TNRC18","","",,"false","interacts-with","HNRNPL (interacts-with) TNRC18","High Throughput"
"pubmed:35271311","Affinity Capture-MS","physical","interacts-with","","YWHAZ (interacts-with) DYNC1H1","","Bait generated from library of CRISPR-edited human embryonic kidney (HEK) 293T cell lines harboring fluorescent tags on individual proteins",,"false","interacts-with","YWHAZ (interacts-with) DYNC1H1","High Throughput"
"pubmed:30033366","Negative Genetic","genetic","interacts-with","","GEMIN2 (interacts-with) GEMIN2","Growth abnormality","CRISPR GI screen|Cell Line: K562 EFO:0002067/Jurkat EFO:0002796|Experimental Setup: Timecourse|GIST: A-phenotypic negative/positive genetic interaction|Interactions in this CRISPR interference (CRISPRi) analysis were considered to be significant when GI <= -3 (negative genetic interaction) or GI >= 3 (positive genetic interaction).|K562 cell line Replicate Average GI score = -4.390008745|Library: CRISPRi v1|Significance Threshold: (positive genetic interaction) 3<GI<-3 (negative genetic interaction)","-4.390008745","false","interacts-with","GEMIN2 (interacts-with) GEMIN2","High Throughput"
"pubmed:31980649","Affinity Capture-MS","physical","interacts-with","","BRAF (interacts-with) RPS27A","","",,"false","interacts-with","BRAF (interacts-with) RPS27A","High Throughput"
