"citation","Confidence Value","interaction","Interaction Detection Methods","name","Presence In Other Species","Publication 1st Author","selected","shared interaction","shared name","Source Databases"
"pubmed:30021884","0.72","interacts-with","MI:0030(cross-linking study)|bioid","KRT8 (interacts-with) ZNF708",,"Fasci D (2018)","false","interacts-with","KRT8 (interacts-with) ZNF708","MI:0469(intact)"
"pubmed:31059266","0.63","interacts-with","MI:0004(affinity chromatography technology)","NFX1 (interacts-with) U2AF2",,"Chen X (2019)","false","interacts-with","NFX1 (interacts-with) U2AF2",
"pubmed:32416067","0.63","interacts-with","MI:0004(affinity chromatography technology)","BRD4 (interacts-with) RB1",,"Shu S (2020)","false","interacts-with","BRD4 (interacts-with) RB1",
"pubmed:32707033","0.56","interacts-with","MI:0096(pull down)","MAP3K10 (interacts-with) MYO18B",,"Buljan M (2020)","false","interacts-with","MAP3K10 (interacts-with) MYO18B",
"pubmed:17607528","0.63","interacts-with","MI:0018(two hybrid)","SPTAN1 (interacts-with) SPTBN4",,"Oh Y (2007)","false","interacts-with","SPTAN1 (interacts-with) SPTBN4","biogrid"
"pubmed:26186194|pubmed:25609649|pubmed:28514442|pubmed:33961781","0.87","interacts-with","MI:0004(affinity chromatography technology)|MI:0676(tandem affinity purification)|MI:0007(anti tag coimmunoprecipitation)","FOXR2 (interacts-with) TRRAP",,"Huttlin EL (2015)|Li X (2015)|Huttlin EL (2017)|Huttlin EL (2021)","false","interacts-with","FOXR2 (interacts-with) TRRAP","biogrid|MI:0469(intact)"
"pubmed:17353931","0.63","interacts-with","MI:0006(anti bait coimmunoprecipitation)","HLA-B (interacts-with) ATP6V1A",,"Ewing RM (2007)","false","interacts-with","HLA-B (interacts-with) ATP6V1A","MI:0469(intact)|i2d"
"pubmed:33961781","0.63","interacts-with","MI:0004(affinity chromatography technology)","SYNGAP1 (interacts-with) FAAP100",,"Huttlin EL (2021)","false","interacts-with","SYNGAP1 (interacts-with) FAAP100",
"pubmed:25416956|pubmed:32296183","0.73","interacts-with","MI:0018(two hybrid)","GKAP1 (interacts-with) GKAP1",,"Rolland T (2014)|Luck K (2020)","false","interacts-with","GKAP1 (interacts-with) GKAP1","biogrid|MI:0469(intact)"
"pubmed:32296183","0.63","interacts-with","MI:0018(two hybrid)","SYNGAP1 (interacts-with) SUOX",,"Luck K (2020)","false","interacts-with","SYNGAP1 (interacts-with) SUOX",
"pubmed:32296183","0.63","interacts-with","MI:0018(two hybrid)","KRTAP10-8 (interacts-with) FTHL17",,"Luck K (2020)","false","interacts-with","KRTAP10-8 (interacts-with) FTHL17",
"pubmed:12621057|pubmed:21982860|pubmed:15153464","0.86","interacts-with","MI:0018(two hybrid)|MI:0089(protein array)|MI:0096(pull down)|MI:0054(fluorescence-activated cell sorting)","SLAMF7 (interacts-with) SLAMF7",,"Del Valle JM (2003)|Ramani SR (2011)|Flaig RM (2004)","false","interacts-with","SLAMF7 (interacts-with) SLAMF7","MI:0468(hprd)|i2d|MI:0469(intact)|biogrid"
"pubmed:20360068","0.72","interacts-with","MI:0004(affinity chromatography technology)|MI:0676(tandem affinity purification)","PTTG1 (interacts-with) PTTG1",,"Hutchins JR (2010)","false","interacts-with","PTTG1 (interacts-with) PTTG1","MI:0469(intact)|biogrid"
"pubmed:22939629","0.7","interacts-with","MI:0401(biochemical)","PABPC1 (interacts-with) SNRNP200","taxid:4932(Saccharomyces cerevisiae (Baker's yeast))","Havugimana PC (2012)","false","interacts-with","PABPC1 (interacts-with) SNRNP200","biogrid"
"pubmed:26186194|pubmed:28514442|pubmed:33961781","0.83","interacts-with","MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)","AP2M1 (interacts-with) APC",,"Huttlin EL (2015)|Huttlin EL (2017)|Huttlin EL (2021)","false","interacts-with","AP2M1 (interacts-with) APC","biogrid"
"pubmed:28546555","0.63","interacts-with","MI:0004(affinity chromatography technology)","HLA-C (interacts-with) KIR2DL1",,"Chapel A (2017)","false","interacts-with","HLA-C (interacts-with) KIR2DL1","MI:0469(intact)"
"pubmed:32296183","0.63","interacts-with","MI:0018(two hybrid)","HOXA1 (interacts-with) KRTAP4-5",,"Luck K (2020)","false","interacts-with","HOXA1 (interacts-with) KRTAP4-5",
"pubmed:22939629","0.63","interacts-with","MI:0401(biochemical)","HADHB (interacts-with) HSP90AB1",,"Havugimana PC (2012)","false","interacts-with","HADHB (interacts-with) HSP90AB1","biogrid"
"pubmed:12832472|pubmed:12753906","0.75","interacts-with","MI:0493(in vivo)|MI:0018(two hybrid)","CCNT1 (interacts-with) CCNT1",,"Michels AA (2003)|Loregian A (2003)","false","interacts-with","CCNT1 (interacts-with) CCNT1","MI:0468(hprd)|i2d|biogrid"
"pubmed:10772858","0.78","interacts-with","MI:0492(in vitro)|MI:0018(two hybrid)|Reconstituted Complex|MI:0096(pull down)","HNRNPL (interacts-with) HNRNPL",,"Kim JH (2000)","false","interacts-with","HNRNPL (interacts-with) HNRNPL","MI:0468(hprd)|biogrid|i2d"
"pubmed:20936779","0.63","interacts-with","MI:0018(two hybrid)","LAMA3 (interacts-with) APC",,"Bandyopadhyay S (2010)","false","interacts-with","LAMA3 (interacts-with) APC","MI:0469(intact)|biogrid|MI:1014(string)"
"pubmed:26344197","0.63","interacts-with","MI:0401(biochemical)","U2AF2 (interacts-with) CHD8",,"Wan C (2015)","false","interacts-with","U2AF2 (interacts-with) CHD8","biogrid"
"pubmed:31239290","0.63","interacts-with","MI:0004(affinity chromatography technology)","BRD4 (interacts-with) HSP90AB1",,"Erber L (2019)","false","interacts-with","BRD4 (interacts-with) HSP90AB1",
"pubmed:12672815","0.72","interacts-with","MI:0114(x-ray crystallography)","SPTA1 (interacts-with) SPTA1",,"Park S (2003)","false","interacts-with","SPTA1 (interacts-with) SPTA1","biogrid"
"pubmed:31871319","0.63","interacts-with","MI:0004(affinity chromatography technology)","RHOQ (interacts-with) MYO5A",,"Bagci H (2019)","false","interacts-with","RHOQ (interacts-with) MYO5A",
"pubmed:22939629|pubmed:26641092","0.82","interacts-with","MI:0004(affinity chromatography technology)|MI:0401(biochemical)","U2AF2 (interacts-with) SNRNP200",,"Havugimana PC (2012)|Whisenant TC (2015)","false","interacts-with","U2AF2 (interacts-with) SNRNP200","biogrid"
"pubmed:31180492","0.63","interacts-with","MI:0004(affinity chromatography technology)","FANCD2 (interacts-with) TOP2B",,"Pladevall-Morera D (2019)","false","interacts-with","FANCD2 (interacts-with) TOP2B",
"pubmed:32296183","0.63","interacts-with","MI:0018(two hybrid)","C1D (interacts-with) ZGPAT",,"Luck K (2020)","false","interacts-with","C1D (interacts-with) ZGPAT",
"pubmed:21653829","0.63","interacts-with","MI:0018(two hybrid)","SHANK3 (interacts-with) MBOAT7",,"Sakai Y (2011)","false","interacts-with","SHANK3 (interacts-with) MBOAT7",
"pubmed:11062248|pubmed:30652415","0.75","interacts-with","MI:0492(in vitro)|MI:0004(affinity chromatography technology)","PRKD2 (interacts-with) PRKD2",,"Sturany S (2000)|Liu Y (2019)","false","interacts-with","PRKD2 (interacts-with) PRKD2","MI:0468(hprd)|i2d"
"pubmed:33961781","0.63","interacts-with","MI:0004(affinity chromatography technology)","APBA2 (interacts-with) RLIM",,"Huttlin EL (2021)","false","interacts-with","APBA2 (interacts-with) RLIM",
"pubmed:30462309","0.63","interacts-with","MI:0004(affinity chromatography technology)","MECOM (interacts-with) AP2M1",,"Ivanochko D (2019)","false","interacts-with","MECOM (interacts-with) AP2M1",
"pubmed:32807901","0.63","interacts-with","MI:0004(affinity chromatography technology)","TP53 (interacts-with) WDR3",,"Liu J (2020)","false","interacts-with","TP53 (interacts-with) WDR3",
"pubmed:20309963|pubmed:26496610","0.86","interacts-with","MI:0018(two hybrid)|MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)","SVIL (interacts-with) FLNA",,"Smith TC (2010)|Hein MY (2015)","false","interacts-with","SVIL (interacts-with) FLNA","biogrid|MI:0469(intact)"
"pubmed:32296183","0.63","interacts-with","MI:0018(two hybrid)","TMEM45B (interacts-with) CDS2",,"Luck K (2020)","false","interacts-with","TMEM45B (interacts-with) CDS2",
"pubmed:28546555","0.63","interacts-with","MI:0004(affinity chromatography technology)","KIR2DL1 (interacts-with) HLA-B",,"Chapel A (2017)","false","interacts-with","KIR2DL1 (interacts-with) HLA-B","MI:0469(intact)"
"pubmed:30442766","0.63","interacts-with","bioid","KRAS (interacts-with) DOCK8",,"Bigenzahn JW (2018)","false","interacts-with","KRAS (interacts-with) DOCK8",
"pubmed:28514442","0.72","interacts-with","MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)","CRISP2 (interacts-with) CTSF",,"Huttlin EL (2017)","false","interacts-with","CRISP2 (interacts-with) CTSF","biogrid"
"pubmed:32707033","0.56","interacts-with","MI:0096(pull down)","MAP3K10 (interacts-with) HSP90AB1",,"Buljan M (2020)","false","interacts-with","MAP3K10 (interacts-with) HSP90AB1",
"pubmed:12637535|pubmed:20798350|pubmed:16973740","0.9","interacts-with","MI:0492(in vitro)|Reconstituted Complex|MI:0404(comigration in non denaturing gel electrophoresis)|MI:0096(pull down)|MI:0114(x-ray crystallography)|MI:0071(molecular sieving)|MI:0028(cosedimentation in solution)|MI:0007(anti tag coimmunoprecipitation)|MI:0030(cross-linking study)|MI:0004(affinity chromatography technology)|MI:0415(enzymatic study)|MI:0401(biochemical)","ERN1 (interacts-with) ERN1",,"Liu CY (2003)|Li H (2010)|Zhou J (2006)","false","interacts-with","ERN1 (interacts-with) ERN1","MI:0468(hprd)|biogrid|i2d|MI:0469(intact)"
"pubmed:17353931","0.63","interacts-with","MI:0006(anti bait coimmunoprecipitation)","HLA-A (interacts-with) HLA-A",,"Ewing RM (2007)","false","interacts-with","HLA-A (interacts-with) HLA-A",
"pubmed:29568061|pubmed:34079125","0.73","interacts-with","bioid","EZR (interacts-with) NUMBL",,"Liu X (2018)|Go CD (2021)","false","interacts-with","EZR (interacts-with) NUMBL","MI:0469(intact)"
"pubmed:27591049","0.63","interacts-with","MI:0004(affinity chromatography technology)","CYLD (interacts-with) AHNAK",,"Elliott PR (2016)","false","interacts-with","CYLD (interacts-with) AHNAK","biogrid"
"pubmed:18636086","0.72","interacts-with","Affinity Capture-Western|MI:0004(affinity chromatography technology)","PPIP5K1 (interacts-with) CYLD",,"Friedman CS (2008)","false","interacts-with","PPIP5K1 (interacts-with) CYLD","biogrid"
"pubmed:22261722|pubmed:29511261","0.73","interacts-with","MI:0004(affinity chromatography technology)","HERC2 (interacts-with) SRGAP2",,"Al-Hakim AK (2012)|Saez I (2018)","false","interacts-with","HERC2 (interacts-with) SRGAP2","biogrid"
"pubmed:21653829","0.63","interacts-with","MI:0018(two hybrid)","HOXA1 (interacts-with) VWF",,"Sakai Y (2011)","false","interacts-with","HOXA1 (interacts-with) VWF",
"pubmed:28515276","0.63","interacts-with","MI:0004(affinity chromatography technology)","PRPF8 (interacts-with) KRT5",,"Malinov?? A (2017)","false","interacts-with","PRPF8 (interacts-with) KRT5","biogrid"
"pubmed:28515276","0.63","interacts-with","MI:0004(affinity chromatography technology)","PRPF8 (interacts-with) KRT8",,"Malinov?? A (2017)","false","interacts-with","PRPF8 (interacts-with) KRT8","biogrid"
"pubmed:30652415","0.63","interacts-with","MI:0004(affinity chromatography technology)","PRKD2 (interacts-with) MYH14",,"Liu Y (2019)","false","interacts-with","PRKD2 (interacts-with) MYH14",
"pubmed:34079125","0.63","interacts-with","bioid","DHFR2 (interacts-with) SACS",,"Go CD (2021)","false","interacts-with","DHFR2 (interacts-with) SACS",
"pubmed:33106477","0.63","interacts-with","MI:0004(affinity chromatography technology)","SKA3 (interacts-with) SF3A3",,"Gao W (2020)","false","interacts-with","SKA3 (interacts-with) SF3A3",
"pubmed:28515276","0.63","interacts-with","MI:0004(affinity chromatography technology)","PRPF8 (interacts-with) KRT6B",,"Malinov?? A (2017)","false","interacts-with","PRPF8 (interacts-with) KRT6B","biogrid"
"pubmed:2391361","0.63","interacts-with","MI:0030(cross-linking study)","FLNA (interacts-with) FLNA",,"Gorlin JB (1990)","false","interacts-with","FLNA (interacts-with) FLNA","MI:0469(intact)"
"pubmed:29028833|pubmed:33961781","0.73","interacts-with","MI:0004(affinity chromatography technology)","MAX (interacts-with) EPC1",,"Cheng J (2017)|Huttlin EL (2021)","false","interacts-with","MAX (interacts-with) EPC1","biogrid"
"pubmed:25416956|pubmed:32296183","0.73","interacts-with","MI:0018(two hybrid)","ZNF587 (interacts-with) NOTCH2NLA",,"Rolland T (2014)|Luck K (2020)","false","interacts-with","ZNF587 (interacts-with) NOTCH2NLA","biogrid|MI:0469(intact)"
"pubmed:33961781","0.63","interacts-with","MI:0004(affinity chromatography technology)","DHFR2 (interacts-with) CACNA2D2",,"Huttlin EL (2021)","false","interacts-with","DHFR2 (interacts-with) CACNA2D2",
"pubmed:21988832","0.63","interacts-with","MI:0018(two hybrid)","ESRP2 (interacts-with) NUMBL",,"Wang J (2011)","false","interacts-with","ESRP2 (interacts-with) NUMBL","MI:0469(intact)|biogrid"
"pubmed:19293945","0.63","interacts-with","MI:0018(two hybrid)","HIVEP2 (interacts-with) GCN1",,"Bell R (2009)","false","interacts-with","HIVEP2 (interacts-with) GCN1","bell09"
"pubmed:31797533","0.63","interacts-with","MI:0004(affinity chromatography technology)","SAMHD1 (interacts-with) SERPINA1",,"Li Z (2019)","false","interacts-with","SAMHD1 (interacts-with) SERPINA1",
"pubmed:12054535","0.63","interacts-with","MI:0018(two hybrid)","ABCA1 (interacts-with) PRPF8",,"Buechler C (2002)","false","interacts-with","ABCA1 (interacts-with) PRPF8","biogrid"
"pubmed:32296183","0.63","interacts-with","MI:0018(two hybrid)","KRTAP10-8 (interacts-with) KRTAP5-4",,"Luck K (2020)","false","interacts-with","KRTAP10-8 (interacts-with) KRTAP5-4",
"pubmed:26344197","0.7","interacts-with","MI:0401(biochemical)","MYO5A (interacts-with) MYH11","taxid:4932(Saccharomyces cerevisiae (Baker's yeast))","Wan C (2015)","false","interacts-with","MYO5A (interacts-with) MYH11","biogrid"
"pubmed:30652415","0.63","interacts-with","MI:0004(affinity chromatography technology)","PRKD2 (interacts-with) PLIN4",,"Liu Y (2019)","false","interacts-with","PRKD2 (interacts-with) PLIN4",
"pubmed:30021884","0.72","interacts-with","MI:0030(cross-linking study)|bioid","PLEC (interacts-with) DIS3",,"Fasci D (2018)","false","interacts-with","PLEC (interacts-with) DIS3","MI:0469(intact)"
"pubmed:11268000|pubmed:12502741|pubmed:8288605|pubmed:16189514|pubmed:9067421|pubmed:16360038|pubmed:8943373","0.9","interacts-with","MI:0492(in vitro)|MI:0493(in vivo)|MI:0018(two hybrid)|MI:0019(coimmunoprecipitation)|MI:0096(pull down)|MI:0065(isothermal titration calorimetry)|MI:0004(affinity chromatography technology)","RB1 (interacts-with) RB1",,"Xia X (2001)|Lee C (2002)|Hensey CE (1994)|Rual JF (2005)|Crouch E (1997)|Rubin SM (2005)|Chow KN (1996)","false","interacts-with","RB1 (interacts-with) RB1","MI:0468(hprd)|MI:0471(mint)|i2d|rual05|MI:0469(intact)"
"pubmed:25416956|pubmed:32296183","0.73","interacts-with","MI:0018(two hybrid)","MAGEA6 (interacts-with) LCORL",,"Rolland T (2014)|Luck K (2020)","false","interacts-with","MAGEA6 (interacts-with) LCORL","biogrid|MI:0469(intact)"
"pubmed:14576350|pubmed:15642356|pubmed:11590143|pubmed:18239683|pubmed:18786395","0.9","interacts-with","MI:0492(in vitro)|MI:0493(in vivo)|Affinity Capture-Western|Reconstituted Complex|MI:0007(anti tag coimmunoprecipitation)|MI:0018(two hybrid)|MI:0096(pull down)|MI:0071(molecular sieving)|MI:0004(affinity chromatography technology)","FHOD1 (interacts-with) FHOD1",,"Takeya R (2003)|Madrid R (2005)|Westendorf JJ (2001)|Takeya R (2008)|Schulte A (2008)","false","interacts-with","FHOD1 (interacts-with) FHOD1","MI:0468(hprd)|biogrid|MI:0471(mint)|MI:0465(dip)|i2d|MI:0469(intact)"
"pubmed:32296183","0.63","interacts-with","MI:0018(two hybrid)","KRTAP5-2 (interacts-with) DLGAP3",,"Luck K (2020)","false","interacts-with","KRTAP5-2 (interacts-with) DLGAP3",
"pubmed:34079125","0.63","interacts-with","bioid","DHFR2 (interacts-with) CAD",,"Go CD (2021)","false","interacts-with","DHFR2 (interacts-with) CAD",
"pubmed:23414517","0.72","interacts-with","MI:0399(two hybrid fragment pooling approach)|MI:0018(two hybrid)","VCL (interacts-with) BIRC6",,"Blandin G (2013)","false","interacts-with","VCL (interacts-with) BIRC6","MI:0469(intact)"
"pubmed:9242374|pubmed:9858607|pubmed:7724524|pubmed:11126356|pubmed:16713569","0.9","interacts-with","MI:0492(in vitro)|MI:0493(in vivo)|Reconstituted Complex|Affinity Capture-Western|MI:0096(pull down)|MI:0018(two hybrid)|MI:0019(coimmunoprecipitation)|MI:0045(experimental interaction detection)|MI:0071(molecular sieving)|MI:0004(affinity chromatography technology)","TAF1 (interacts-with) RB1",,"Shao Z (1997)|Siegert JL (1999)|Shao Z (1995)|Siegert JL (2000)|Lim J (2006)","false","interacts-with","TAF1 (interacts-with) RB1","MI:0468(hprd)|biogrid|MI:0469(intact)|MI:0465(dip)|i2d|MI:0462(bind)|lim06"
"pubmed:12000766","0.52","interacts-with","MI:0492(in vitro)","TENM1 (interacts-with) TENM1",,"Feng K (2002)","false","interacts-with","TENM1 (interacts-with) TENM1","MI:0468(hprd)|i2d"
"pubmed:11514561|pubmed:16189514","0.68","interacts-with","MI:0492(in vitro)","AKR1C1 (interacts-with) AKR1C1","taxid:4932(Saccharomyces cerevisiae (Baker's yeast))","Nahoum V (2001)|Rual JF (2005)","false","interacts-with","AKR1C1 (interacts-with) AKR1C1","MI:0468(hprd)|homomint|i2d|rual05"
"pubmed:29426014","0.63","interacts-with","MI:0007(anti tag coimmunoprecipitation)","HERC2 (interacts-with) FLNA",,"Mart??nez-No??l G (2018)","false","interacts-with","HERC2 (interacts-with) FLNA","MI:0469(intact)"
"pubmed:26496610","0.63","interacts-with","MI:0007(anti tag coimmunoprecipitation)","BCLAF1 (interacts-with) RBMXL1",,"Hein MY (2015)","false","interacts-with","BCLAF1 (interacts-with) RBMXL1","MI:0469(intact)"
"pubmed:28611215","0.63","interacts-with","MI:0004(affinity chromatography technology)","HNRNPL (interacts-with) RAB7A",,"Fei T (2017)","false","interacts-with","HNRNPL (interacts-with) RAB7A","biogrid"
"pubmed:27173435","0.63","interacts-with","MI:0004(affinity chromatography technology)","SRGAP2 (interacts-with) RPTOR",,"Boldt K (2016)","false","interacts-with","SRGAP2 (interacts-with) RPTOR","biogrid"
"pubmed:9268375|pubmed:9275169","0.75","interacts-with","MI:0492(in vitro)|MI:0018(two hybrid)","ADCY5 (interacts-with) ADCY5",,"Sunahara RK (1997)|Scholich K (1997)","false","interacts-with","ADCY5 (interacts-with) ADCY5","MI:0468(hprd)|biogrid|i2d"
"pubmed:19293945","0.63","interacts-with","MI:0018(two hybrid)","SIRPA (interacts-with) FLNC",,"Bell R (2009)","false","interacts-with","SIRPA (interacts-with) FLNC","bell09"
"pubmed:9010216|pubmed:16189514","0.88","interacts-with","MI:0492(in vitro)|MI:0493(in vivo)|Reconstituted Complex|Affinity Capture-Western|MI:0004(affinity chromatography technology)|MI:0096(pull down)","PRKRA (interacts-with) RB1",,"Simons A (1997)|Rual JF (2005)","false","interacts-with","PRKRA (interacts-with) RB1","MI:0468(hprd)|biogrid|i2d|rual05"
"pubmed:27591049","0.63","interacts-with","MI:0004(affinity chromatography technology)","CYLD (interacts-with) HRNR",,"Elliott PR (2016)","false","interacts-with","CYLD (interacts-with) HRNR","biogrid"
"pubmed:33961781","0.63","interacts-with","MI:0004(affinity chromatography technology)","IGLL5 (interacts-with) POTEF",,"Huttlin EL (2021)","false","interacts-with","IGLL5 (interacts-with) POTEF",
"pubmed:31536960","0.63","interacts-with","MI:0401(biochemical)","ATP6V1A (interacts-with) NNT",,"Moutaoufik MT (2019)","false","interacts-with","ATP6V1A (interacts-with) NNT",
"pubmed:27591049","0.63","interacts-with","MI:0004(affinity chromatography technology)","CYLD (interacts-with) FLG2",,"Elliott PR (2016)","false","interacts-with","CYLD (interacts-with) FLG2","biogrid"
"pubmed:32296183","0.63","interacts-with","MI:0018(two hybrid)","ZNF587 (interacts-with) ZNF837",,"Luck K (2020)","false","interacts-with","ZNF587 (interacts-with) ZNF837",
"pubmed:27432908","0.63","interacts-with","MI:0004(affinity chromatography technology)","DUSP2 (interacts-with) DUSP2",,"Li X (2016)","false","interacts-with","DUSP2 (interacts-with) DUSP2","biogrid"
"pubmed:25416956","0.63","interacts-with","MI:0018(two hybrid)","ZNF320 (interacts-with) KRTAP10-7",,"Rolland T (2014)","false","interacts-with","ZNF320 (interacts-with) KRTAP10-7","biogrid|MI:0469(intact)"
"pubmed:28611215","0.63","interacts-with","MI:0004(affinity chromatography technology)","HNRNPL (interacts-with) WDR11",,"Fei T (2017)","false","interacts-with","HNRNPL (interacts-with) WDR11","biogrid"
"pubmed:26186194|pubmed:28514442|pubmed:33961781","0.74","interacts-with","MI:0004(affinity chromatography technology)","C1QTNF9 (interacts-with) C1QTNF9B",,"Huttlin EL (2015)|Huttlin EL (2017)|Huttlin EL (2021)","false","interacts-with","C1QTNF9 (interacts-with) C1QTNF9B","biogrid"
"pubmed:20871633|pubmed:8083962","0.84","interacts-with","MI:0007(anti tag coimmunoprecipitation)|MI:0004(affinity chromatography technology)|MI:0096(pull down)","RB1 (interacts-with) TP53",,"Delston RB (2010)|Sommer MH (1994)","false","interacts-with","RB1 (interacts-with) TP53","MI:0469(intact)|biogrid|MI:1014(string)"
"pubmed:12163176","0.79","interacts-with","MI:0492(in vitro)|MI:0018(two hybrid)|Reconstituted Complex|MI:0096(pull down)|MI:0047(far western blotting)","SYNE1 (interacts-with) SYNE1",,"Mislow JM (2002)","false","interacts-with","SYNE1 (interacts-with) SYNE1","MI:0468(hprd)|biogrid|i2d|MI:0469(intact)"
"pubmed:24981860","0.63","interacts-with","MI:0004(affinity chromatography technology)","SETD1A (interacts-with) ATN1",,"Marcon E (2014)","false","interacts-with","SETD1A (interacts-with) ATN1",
"pubmed:26496610|pubmed:29028833|pubmed:27153538","0.83","interacts-with","MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)","TRRAP (interacts-with) EPC1",,"Hein MY (2015)|Cheng J (2017)|Jacquet K (2016)","false","interacts-with","TRRAP (interacts-with) EPC1","biogrid|MI:0469(intact)"
"pubmed:22939624|pubmed:23455922|pubmed:32707033","0.79","interacts-with","MI:0004(affinity chromatography technology)|MI:0096(pull down)","HSP90AB1 (interacts-with) ILK",,"Taipale M (2012)|Varjosalo M (2013)|Buljan M (2020)","false","interacts-with","HSP90AB1 (interacts-with) ILK","MI:0469(intact)|biogrid"
"pubmed:27591049","0.63","interacts-with","MI:0004(affinity chromatography technology)","CYLD (interacts-with) SRRM2",,"Elliott PR (2016)","false","interacts-with","CYLD (interacts-with) SRRM2","biogrid"
"pubmed:16159877","0.63","interacts-with","MI:0004(affinity chromatography technology)","SRRM2 (interacts-with) EPPK1",,"McCracken S (2005)","false","interacts-with","SRRM2 (interacts-with) EPPK1","biogrid"
"pubmed:32296183","0.63","interacts-with","MI:0018(two hybrid)","SPRY3 (interacts-with) KPRP",,"Luck K (2020)","false","interacts-with","SPRY3 (interacts-with) KPRP",
"pubmed:28611215","0.63","interacts-with","MI:0004(affinity chromatography technology)","HNRNPL (interacts-with) TRRAP",,"Fei T (2017)","false","interacts-with","HNRNPL (interacts-with) TRRAP","biogrid"
"pubmed:28515276","0.63","interacts-with","MI:0004(affinity chromatography technology)","PRPF8 (interacts-with) PLEC",,"Malinov?? A (2017)","false","interacts-with","PRPF8 (interacts-with) PLEC","biogrid"
"pubmed:14594813","0.74","interacts-with","MI:0492(in vitro)|Biochemical Activity|MI:0415(enzymatic study)","TRPM7 (interacts-with) TRPM7","taxid:10090(Mus musculus (Mouse))","Ryazanova LV (2003)","false","interacts-with","TRPM7 (interacts-with) TRPM7","MI:0468(hprd)|biogrid|i2d"
"pubmed:33961781","0.63","interacts-with","MI:0004(affinity chromatography technology)","TP53 (interacts-with) TUBB8",,"Huttlin EL (2021)","false","interacts-with","TP53 (interacts-with) TUBB8",
"pubmed:28611215","0.63","interacts-with","MI:0004(affinity chromatography technology)","HNRNPL (interacts-with) ENAH",,"Fei T (2017)","false","interacts-with","HNRNPL (interacts-with) ENAH","biogrid"
"pubmed:32296183","0.63","interacts-with","MI:0018(two hybrid)","KRTAP10-7 (interacts-with) DOCK2",,"Luck K (2020)","false","interacts-with","KRTAP10-7 (interacts-with) DOCK2",
"pubmed:25416956|pubmed:32296183","0.73","interacts-with","MI:0018(two hybrid)","THAP7 (interacts-with) NOTCH2NLA",,"Rolland T (2014)|Luck K (2020)","false","interacts-with","THAP7 (interacts-with) NOTCH2NLA","biogrid|MI:0469(intact)"
"pubmed:10942426|pubmed:9323129","0.77","interacts-with","MI:0492(in vitro)|MI:0493(in vivo)|MI:0018(two hybrid)","GEMIN2 (interacts-with) GEMIN2",,"Meister G (2000)|Liu Q (1997)","false","interacts-with","GEMIN2 (interacts-with) GEMIN2","MI:0468(hprd)|i2d"
"pubmed:33961781","0.63","interacts-with","MI:0004(affinity chromatography technology)","INF2 (interacts-with) RLIM",,"Huttlin EL (2021)","false","interacts-with","INF2 (interacts-with) RLIM",
"pubmed:24981860","0.63","interacts-with","MI:0004(affinity chromatography technology)","KMT2C (interacts-with) KMT2D",,"Marcon E (2014)","false","interacts-with","KMT2C (interacts-with) KMT2D",
"pubmed:31059266","0.63","interacts-with","MI:0004(affinity chromatography technology)","NFX1 (interacts-with) YWHAZ",,"Chen X (2019)","false","interacts-with","NFX1 (interacts-with) YWHAZ",
"pubmed:33846359","0.63","interacts-with","MI:0007(anti tag coimmunoprecipitation)","PGR (interacts-with) APOB",,"Pateetin P (2021)","false","interacts-with","PGR (interacts-with) APOB",
"pubmed:11239433|pubmed:15187088|pubmed:25315821","0.88","interacts-with","MI:0493(in vivo)|Affinity Capture-Western|MI:0004(affinity chromatography technology)|MI:0018(two hybrid)","PLXNA1 (interacts-with) PLXNA1",,"Takahashi T (2001)|Turner LJ (2004)|Sawma P (2014)","false","interacts-with","PLXNA1 (interacts-with) PLXNA1","MI:0468(hprd)|biogrid|i2d"
"-","0.14","interacts-with","MI:0006(anti bait coimmunoprecipitation)","DYNC1H1 (interacts-with) NF1",,,"false","interacts-with","DYNC1H1 (interacts-with) NF1","MI:0469(intact)|MI:0471(mint)"
"pubmed:34079125","0.63","interacts-with","bioid","KRAS (interacts-with) RAB7A",,"Go CD (2021)","false","interacts-with","KRAS (interacts-with) RAB7A",
"pubmed:31059266","0.63","interacts-with","MI:0004(affinity chromatography technology)","NFX1 (interacts-with) DHX29",,"Chen X (2019)","false","interacts-with","NFX1 (interacts-with) DHX29",
"pubmed:28675297","0.63","interacts-with","MI:0004(affinity chromatography technology)","DUSP2 (interacts-with) GCN1",,"Kumar P (2017)","false","interacts-with","DUSP2 (interacts-with) GCN1",
"pubmed:27684187","0.63","interacts-with","MI:0004(affinity chromatography technology)","KRAS (interacts-with) U2AF2",,"Rosenbluh J (2016)","false","interacts-with","KRAS (interacts-with) U2AF2","biogrid"
"pubmed:30462309","0.63","interacts-with","MI:0004(affinity chromatography technology)","MECOM (interacts-with) FLNC",,"Ivanochko D (2019)","false","interacts-with","MECOM (interacts-with) FLNC",
"pubmed:21078624","0.63","interacts-with","MI:0018(two hybrid)","CACNA1A (interacts-with) NOTCH1",,"Kahle JJ (2010)","false","interacts-with","CACNA1A (interacts-with) NOTCH1","biogrid|MI:0469(intact)"
