citation,Confidence Value,evidence: CCMI,evidence: Co-dependence,evidence: mRNA co-expression,evidence: Physical,evidence: Protein co-expression,evidence: Sequence similarity,Experimental System,Experimental System Type,FBS_max,Integrated score,interaction,Interaction Detection Methods,LLS,Modification,name,PFC,Phenotypes,Presence In Other Species,Publication 1st Author,Qualifications,Score,selected,shared interaction,shared name,Source Databases,Throughput
,,,,,,,,,,12.866,,has functional association with,,1.54436328681711,,SNRNP200 (has functional association with) RPTOR,0.997,,,,,,false,has functional association with,SNRNP200 (has functional association with) RPTOR,,
,,,,,,,,,,12.804,,has functional association with,,,,SNRNP200 (has functional association with) U2AF2,0.997,,,,,,false,has functional association with,SNRNP200 (has functional association with) U2AF2,,
,,,,,,,,,,26.328,,has functional association with,,,,SNRNP200 (has functional association with) PRPF8,1,,,,,,false,has functional association with,SNRNP200 (has functional association with) PRPF8,,
,,,,,,,,,,12.635,,has functional association with,,,,SNRNP200 (has functional association with) DIS3,0.997,,,,,,false,has functional association with,SNRNP200 (has functional association with) DIS3,,
,,,,,,,,,,10.327,,has functional association with,,,,SNRNP200 (has functional association with) TOP2B,0.968,,,,,,false,has functional association with,SNRNP200 (has functional association with) TOP2B,,
,,,,,,,,,,10.241,,has functional association with,,,,CKAP5 (has functional association with) HERC1,0.966,,,,,,false,has functional association with,CKAP5 (has functional association with) HERC1,,
,,,,,,,,,,12.831,,has functional association with,,,,SDHA (has functional association with) HSP90AB1,0.997,,,,,,false,has functional association with,SDHA (has functional association with) HSP90AB1,,
,,,,,,,,,,15.884,,has functional association with,,,,SDHA (has functional association with) SLC25A5,1,,,,,,false,has functional association with,SDHA (has functional association with) SLC25A5,,
,,,,,,,,,,10.697,,has functional association with,,,,SDHA (has functional association with) BPHL,0.978,,,,,,false,has functional association with,SDHA (has functional association with) BPHL,,
,,,,,,,,,,11.146,,has functional association with,,,,SDHA (has functional association with) YWHAZ,0.986,,,,,,false,has functional association with,SDHA (has functional association with) YWHAZ,,
,,,,,,,,,,12.089,,has functional association with,,,,SDHA (has functional association with) NNT,0.994,,,,,,false,has functional association with,SDHA (has functional association with) NNT,,
,,,,,,,,,,10.814,,has functional association with,,,,SDHA (has functional association with) LDHB,0.98,,,,,,false,has functional association with,SDHA (has functional association with) LDHB,,
,,,,,,,,,,10.756,,has functional association with,,,,SDHA (has functional association with) COX10,0.979,,,,,,false,has functional association with,SDHA (has functional association with) COX10,,
,,,,,,,,,,10.942,,has functional association with,,,,PRIM2 (has functional association with) TBP,0.983,,,,,,false,has functional association with,PRIM2 (has functional association with) TBP,,
,,,,,,,,,,10.051,,has functional association with,,,,PRIM2 (has functional association with) WDR3,0.959,,,,,,false,has functional association with,PRIM2 (has functional association with) WDR3,,
,,,,,,,,,,9.919,,has functional association with,,,,PRIM2 (has functional association with) TOP2B,0.953,,,,,,false,has functional association with,PRIM2 (has functional association with) TOP2B,,
,,,,,,,,,,12.118,,has functional association with,,,,PRIM2 (has functional association with) SMC4,0.995,,,,,,false,has functional association with,PRIM2 (has functional association with) SMC4,,
,,,,,,,,,,13.064,,has functional association with,,,,RB1 (has functional association with) TAF1,0.998,,,,,,false,has functional association with,RB1 (has functional association with) TAF1,,
,,,,,,,,,,14.646,,has functional association with,,,,MAX (has functional association with) TAF1,1,,,,,,false,has functional association with,MAX (has functional association with) TAF1,,
,,,,,,,,,,13.111,,has functional association with,,3.7602897253479,,MAX (has functional association with) EPC1,0.998,,,,,,false,has functional association with,MAX (has functional association with) EPC1,,
,,,,,,,,,,,,has functional association with,,2.01795104385845,,EGR1 (has functional association with) ARID2,,,,,,,false,has functional association with,EGR1 (has functional association with) ARID2,,
,,,,,,,,,,,,has functional association with,,3.44420390406056,,EGR1 (has functional association with) TP53,,,,,,,false,has functional association with,EGR1 (has functional association with) TP53,,
,,,,,,,,,,,,has functional association with,,1.84714511541049,,KRTAP5-1 (has functional association with) KRTAP1-5,,,,,,,false,has functional association with,KRTAP5-1 (has functional association with) KRTAP1-5,,
,,,,,,,,,,,,has functional association with,,1.84714511541049,,KRTAP5-1 (has functional association with) KRTAP5-2,,,,,,,false,has functional association with,KRTAP5-1 (has functional association with) KRTAP5-2,,
,,,,,,,,,,,,has functional association with,,1.84714511541049,,KRTAP5-1 (has functional association with) KRTAP5-10,,,,,,,false,has functional association with,KRTAP5-1 (has functional association with) KRTAP5-10,,
,,,,,,,,,,,,has functional association with,,1.84714511541049,,KRTAP5-1 (has functional association with) KRTAP5-5,,,,,,,false,has functional association with,KRTAP5-1 (has functional association with) KRTAP5-5,,
,,,,,,,,,,,,has functional association with,,1.84714511541049,,KRTAP5-1 (has functional association with) KRTAP4-5,,,,,,,false,has functional association with,KRTAP5-1 (has functional association with) KRTAP4-5,,
,,,,,,,,,,,,has functional association with,,1.84714511541049,,KRTAP5-1 (has functional association with) KRTAP9-9,,,,,,,false,has functional association with,KRTAP5-1 (has functional association with) KRTAP9-9,,
,,,,,,,,,,,,has functional association with,,1.84714511541049,,KRTAP5-1 (has functional association with) KRTAP5-7,,,,,,,false,has functional association with,KRTAP5-1 (has functional association with) KRTAP5-7,,
,,,,,,,,,,,,has functional association with,,1.84714511541049,,KRTAP5-1 (has functional association with) KRTAP4-6,,,,,,,false,has functional association with,KRTAP5-1 (has functional association with) KRTAP4-6,,
,,,,,,,,,,,,has functional association with,,1.84714511541049,,KRTAP5-1 (has functional association with) KRTAP5-4,,,,,,,false,has functional association with,KRTAP5-1 (has functional association with) KRTAP5-4,,
,,,,,,,,,,,,has functional association with,,1.84714511541049,,KRTAP5-1 (has functional association with) KRTAP4-11,,,,,,,false,has functional association with,KRTAP5-1 (has functional association with) KRTAP4-11,,
,,,,,,,,,,,,has functional association with,,2.17477288182559,,COX10 (has functional association with) MRPL36,,,,,,,false,has functional association with,COX10 (has functional association with) MRPL36,,
,,,,,,,,,,,,has functional association with,,2.02195553036817,,COX10 (has functional association with) SDHA,,,,,,,false,has functional association with,COX10 (has functional association with) SDHA,,
,,,,,,,,,,,,has functional association with,,2.58810926487708,,COX10 (has functional association with) SUOX,,,,,,,false,has functional association with,COX10 (has functional association with) SUOX,,
,,,,,,,,,,,,has functional association with,,2.57822250697364,,COX10 (has functional association with) ABCA1,,,,,,,false,has functional association with,COX10 (has functional association with) ABCA1,,
,,,,,,,,,,,,has functional association with,,2.60604058778457,,COX10 (has functional association with) ABCA3,,,,,,,false,has functional association with,COX10 (has functional association with) ABCA3,,
,,,,,,,,,,,,has functional association with,,2.62568709080121,,COX10 (has functional association with) MRPS18C,,,,,,,false,has functional association with,COX10 (has functional association with) MRPS18C,,
,,,,,,,,,,,,has functional association with,,1.59127741857567,,BIRC6 (has functional association with) UBC,,,,,,,false,has functional association with,BIRC6 (has functional association with) UBC,,
,,,,,,,,,,,,has functional association with,,1.70348560291764,,BIRC6 (has functional association with) RRBP1,,,,,,,false,has functional association with,BIRC6 (has functional association with) RRBP1,,
,,,,,,,,,,,,has functional association with,,1.49798931388178,,BIRC6 (has functional association with) RAPH1,,,,,,,false,has functional association with,BIRC6 (has functional association with) RAPH1,,
,,,,,,,,,,,,has functional association with,,1.52842683766928,,BIRC6 (has functional association with) EP400,,,,,,,false,has functional association with,BIRC6 (has functional association with) EP400,,
,,,,,,,,,,,,has functional association with,,1.53965272662858,,BIRC6 (has functional association with) TRRAP,,,,,,,false,has functional association with,BIRC6 (has functional association with) TRRAP,,
,,,,,,,,,,,,has functional association with,,1.67823717272056,,BIRC6 (has functional association with) VCL,,,,,,,false,has functional association with,BIRC6 (has functional association with) VCL,,
,,,,,,,,,,,,has functional association with,,1.67823717272056,,BIRC6 (has functional association with) INF2,,,,,,,false,has functional association with,BIRC6 (has functional association with) INF2,,
,,,,,,,,,,,,has functional association with,,3.02254372250696,,BIRC6 (has functional association with) USP34,,,,,,,false,has functional association with,BIRC6 (has functional association with) USP34,,
,,,,,,,,,,,,has functional association with,,4.14757179870808,,POTEJ (has functional association with) POTEF,,,,,,,false,has functional association with,POTEJ (has functional association with) POTEF,,
,,,,,,,,,,,,has functional association with,,1.65496847565128,,ABCA7 (has functional association with) FASN,,,,,,,false,has functional association with,ABCA7 (has functional association with) FASN,,
,,,,,,,,,,,,has functional association with,,1.88637748124858,,ABCA7 (has functional association with) CAD,,,,,,,false,has functional association with,ABCA7 (has functional association with) CAD,,
,,,,,,,,,,,,has functional association with,,1.70898872035617,,ABCA7 (has functional association with) DDX41,,,,,,,false,has functional association with,ABCA7 (has functional association with) DDX41,,
,,,,,,,,,,,,has functional association with,,4.60544289251634,,ABCA7 (has functional association with) ABCA1,,,,,,,false,has functional association with,ABCA7 (has functional association with) ABCA1,,
,,,,,,,,,,,,has functional association with,,1.74507496555706,,ABCA7 (has functional association with) ATP12A,,,,,,,false,has functional association with,ABCA7 (has functional association with) ATP12A,,
,,,,,,,,,,,,has functional association with,,2.34630310623294,,ABCA7 (has functional association with) ALDH3B1,,,,,,,false,has functional association with,ABCA7 (has functional association with) ALDH3B1,,
,,,,,,,,,,,,has functional association with,,1.94838083075132,,ABCA7 (has functional association with) SDHA,,,,,,,false,has functional association with,ABCA7 (has functional association with) SDHA,,
,,,,,,,,,,,,has functional association with,,5.00281769485355,,ABCA7 (has functional association with) ABCA3,,,,,,,false,has functional association with,ABCA7 (has functional association with) ABCA3,,
,,,,,,,,,,,,has functional association with,,1.60737231716251,,ABCA7 (has functional association with) ATP2B2,,,,,,,false,has functional association with,ABCA7 (has functional association with) ATP2B2,,
,,,,,,,,,,,,has functional association with,,1.59782863326795,,ABCA7 (has functional association with) ATP2B3,,,,,,,false,has functional association with,ABCA7 (has functional association with) ATP2B3,,
,,,,,,,,,,,,has functional association with,,1.88152612371411,,ABCA7 (has functional association with) HADHB,,,,,,,false,has functional association with,ABCA7 (has functional association with) HADHB,,
,,,,,,,,,,,,has functional association with,,2.59829576418085,,ABCA7 (has functional association with) COX10,,,,,,,false,has functional association with,ABCA7 (has functional association with) COX10,,
,,,,,,,,,,,,has functional association with,,2.32327481226614,,BCL7A (has functional association with) POTEJ,,,,,,,false,has functional association with,BCL7A (has functional association with) POTEJ,,
,,,,,,,,,,,,has functional association with,,1.6212466825811,,PSG2 (has functional association with) SIGLEC1,,,,,,,false,has functional association with,PSG2 (has functional association with) SIGLEC1,,
,,,,,,,,,,,,has functional association with,,1.70256934988094,,KLHL34 (has functional association with) CKAP5,,,,,,,false,has functional association with,KLHL34 (has functional association with) CKAP5,,
,,,,,,,,,,,,has functional association with,,1.63353570067933,,KLHL34 (has functional association with) HSP90AB1,,,,,,,false,has functional association with,KLHL34 (has functional association with) HSP90AB1,,
,,,,,,,,,,,,has functional association with,,1.49406374383536,,ZNF729 (has functional association with) ZNF676,,,,,,,false,has functional association with,ZNF729 (has functional association with) ZNF676,,
,,,,,,,,,,,,has functional association with,,1.64206364472619,,SPTAN1 (has functional association with) VCL,,,,,,,false,has functional association with,SPTAN1 (has functional association with) VCL,,
,,,,,,,,,,,,has functional association with,,1.65022238260889,,SPTAN1 (has functional association with) SVIL,,,,,,,false,has functional association with,SPTAN1 (has functional association with) SVIL,,
,,,,,,,,,,,,has functional association with,,4.92874285643698,,PRSS1 (has functional association with) PRSS3,,,,,,,false,has functional association with,PRSS1 (has functional association with) PRSS3,,
,,,,,,,,,,,,has functional association with,,3.6075499847455,,RFLNA (has functional association with) FLNA,,,,,,,false,has functional association with,RFLNA (has functional association with) FLNA,,
,,,,,,,,,,,,has functional association with,,3.00322571923727,,ILK (has functional association with) CAD,,,,,,,false,has functional association with,ILK (has functional association with) CAD,,
,,,,,,,,,,,,has functional association with,,1.5593169368431,,ILK (has functional association with) NOTCH1,,,,,,,false,has functional association with,ILK (has functional association with) NOTCH1,,
,,,,,,,,,,,,has functional association with,,1.52103658032955,,ILK (has functional association with) RAPH1,,,,,,,false,has functional association with,ILK (has functional association with) RAPH1,,
,,,,,,,,,,,,has functional association with,,1.72035429984819,,CCT8L2 (has functional association with) NAV1,,,,,,,false,has functional association with,CCT8L2 (has functional association with) NAV1,,
,,,,,,,,,,,,has functional association with,,1.7326060821582,,CCT8L2 (has functional association with) MAP3K21,,,,,,,false,has functional association with,CCT8L2 (has functional association with) MAP3K21,,
,,,,,,,,,,,,has functional association with,,1.69565971374467,,CCT8L2 (has functional association with) DIS3,,,,,,,false,has functional association with,CCT8L2 (has functional association with) DIS3,,
,,,,,,,,,,,,has functional association with,,2.04363430160628,,CCT8L2 (has functional association with) ZNF507,,,,,,,false,has functional association with,CCT8L2 (has functional association with) ZNF507,,
,,,,,,,,,,,,has functional association with,,4.95999415656154,,EIF4EBP1 (has functional association with) RPTOR,,,,,,,false,has functional association with,EIF4EBP1 (has functional association with) RPTOR,,
,,,,,,,,,,,,has functional association with,,1.55697703641839,,EIF4EBP1 (has functional association with) HSP90AB1,,,,,,,false,has functional association with,EIF4EBP1 (has functional association with) HSP90AB1,,
,,,,,,,,,,,,has functional association with,,2.44637201742854,,EIF4EBP1 (has functional association with) IRS1,,,,,,,false,has functional association with,EIF4EBP1 (has functional association with) IRS1,,
,,,,,,,,,,,,has functional association with,,3.04877125892176,,EIF4EBP1 (has functional association with) PABPC1,,,,,,,false,has functional association with,EIF4EBP1 (has functional association with) PABPC1,,
,,,,,,,,,,,,has functional association with,,1.71505358799729,,ZNF71 (has functional association with) ZGPAT,,,,,,,false,has functional association with,ZNF71 (has functional association with) ZGPAT,,
,,,,,,,,,,,,has functional association with,,2.0376358070803,,ZNF71 (has functional association with) ZNF835,,,,,,,false,has functional association with,ZNF71 (has functional association with) ZNF835,,
,,,,,,,,,,,,has functional association with,,2.06481023124307,,ZNF71 (has functional association with) ZFP62,,,,,,,false,has functional association with,ZNF71 (has functional association with) ZFP62,,
,,,,,,,,,,,,has functional association with,,2.24780026557228,,ZNF71 (has functional association with) ZNF354A,,,,,,,false,has functional association with,ZNF71 (has functional association with) ZNF354A,,
,,,,,,,,,,,,has functional association with,,1.82427635942664,,STRADB (has functional association with) MYLK3,,,,,,,false,has functional association with,STRADB (has functional association with) MYLK3,,
,,,,,,,,,,,,has functional association with,,3.23760751279709,,STRADB (has functional association with) RPTOR,,,,,,,false,has functional association with,STRADB (has functional association with) RPTOR,,
,,,,,,,,,,,,has functional association with,,1.6346942661518,,STRADB (has functional association with) PTK7,,,,,,,false,has functional association with,STRADB (has functional association with) PTK7,,
,,,,,,,,,,,,has functional association with,,3.92136347105216,,TTN (has functional association with) IGFN1,,,,,,,false,has functional association with,TTN (has functional association with) IGFN1,,
,,,,,,,,,,,,has functional association with,,2.62216293704545,,TTN (has functional association with) CACNA2D2,,,,,,,false,has functional association with,TTN (has functional association with) CACNA2D2,,
,,,,,,,,,,,,has functional association with,,1.72515387002294,,TTN (has functional association with) DYSF,,,,,,,false,has functional association with,TTN (has functional association with) DYSF,,
,,,,,,,,,,,,has functional association with,,4.13280803095999,,TTN (has functional association with) OBSCN,,,,,,,false,has functional association with,TTN (has functional association with) OBSCN,,
,,,,,,,,,,,,has functional association with,,1.69816104697566,,CSNK2A3 (has functional association with) MAP3K21,,,,,,,false,has functional association with,CSNK2A3 (has functional association with) MAP3K21,,
,,,,,,,,,,,,has functional association with,,1.69821762566972,,CSNK2A3 (has functional association with) PTK7,,,,,,,false,has functional association with,CSNK2A3 (has functional association with) PTK7,,
,,,,,,,,,,,,has functional association with,,2.70395169841121,,NF1 (has functional association with) RASAL1,,,,,,,false,has functional association with,NF1 (has functional association with) RASAL1,,
,,,,,,,,,,,,has functional association with,,2.70395169841121,,NF1 (has functional association with) SYNGAP1,,,,,,,false,has functional association with,NF1 (has functional association with) SYNGAP1,,
,,,,,,,,,,,,has functional association with,,1.73683693902928,,NF1 (has functional association with) MAP3K21,,,,,,,false,has functional association with,NF1 (has functional association with) MAP3K21,,
,,,,,,,,,,,,has functional association with,,1.79615863106953,,NF1 (has functional association with) NRAS,,,,,,,false,has functional association with,NF1 (has functional association with) NRAS,,
,,,,,,,,,,,,has functional association with,,1.72290271065939,,NF1 (has functional association with) NAV1,,,,,,,false,has functional association with,NF1 (has functional association with) NAV1,,
,,,,,,,,,,,,has functional association with,,1.73174304582309,,NF1 (has functional association with) DENND1A,,,,,,,false,has functional association with,NF1 (has functional association with) DENND1A,,
,,,,,,,,,,,,has functional association with,,1.69510613725388,,TUBB8 (has functional association with) KLRC2,,,,,,,false,has functional association with,TUBB8 (has functional association with) KLRC2,,
,,,,,,,,,,,,has functional association with,,1.56294753758338,,TUBB8 (has functional association with) RPTOR,,,,,,,false,has functional association with,TUBB8 (has functional association with) RPTOR,,
,,,,,,,,,,,,has functional association with,,1.71375124612913,,TUBB8 (has functional association with) C1QTNF9B,,,,,,,false,has functional association with,TUBB8 (has functional association with) C1QTNF9B,,
,,,,,,,,,,,,has functional association with,,1.63650082158377,,TUBB8 (has functional association with) POTEF,,,,,,,false,has functional association with,TUBB8 (has functional association with) POTEF,,
,,,,,,,,,,,,has functional association with,,2.44653126389697,,TUBB8 (has functional association with) NRAS,,,,,,,false,has functional association with,TUBB8 (has functional association with) NRAS,,
,,,,,,,,,,,,has functional association with,,2.43607996933381,,TUBB8 (has functional association with) KRAS,,,,,,,false,has functional association with,TUBB8 (has functional association with) KRAS,,
,,,,,,,,,,,,has functional association with,,2.1105191990696,,RHOQ (has functional association with) CDC42BPG,,,,,,,false,has functional association with,RHOQ (has functional association with) CDC42BPG,,
,,,,,,,,,,,,has functional association with,,1.70342292639879,,RHOQ (has functional association with) MYO5A,,,,,,,false,has functional association with,RHOQ (has functional association with) MYO5A,,
,,,,,,,,,,,,has functional association with,,1.72368650771387,,RHOQ (has functional association with) ARHGAP31,,,,,,,false,has functional association with,RHOQ (has functional association with) ARHGAP31,,
,,,,,,,,,,,,has functional association with,,1.70512081263995,,RHOQ (has functional association with) ARHGAP4,,,,,,,false,has functional association with,RHOQ (has functional association with) ARHGAP4,,
,,,,,,,,,,,,has functional association with,,1.64157974888794,,RHOQ (has functional association with) VAV1,,,,,,,false,has functional association with,RHOQ (has functional association with) VAV1,,
,,,,,,,,,,,,has functional association with,,1.708288896286,,RHOQ (has functional association with) OBSCN,,,,,,,false,has functional association with,RHOQ (has functional association with) OBSCN,,
,,,,,,,,,,,,has functional association with,,1.65915828387517,,RHOQ (has functional association with) MYO1C,,,,,,,false,has functional association with,RHOQ (has functional association with) MYO1C,,
,,,,,,,,,,,,has functional association with,,1.82139074831713,,CYP21A2 (has functional association with) HOXA1,,,,,,,false,has functional association with,CYP21A2 (has functional association with) HOXA1,,
,,,,,,,,,,,,has functional association with,,2.92405818597436,,CYP21A2 (has functional association with) CACNA1I,,,,,,,false,has functional association with,CYP21A2 (has functional association with) CACNA1I,,
,,,,,,,,,,,,has functional association with,,2.89870872216883,,CYP21A2 (has functional association with) CACNA1G,,,,,,,false,has functional association with,CYP21A2 (has functional association with) CACNA1G,,
,,,,,,,,,,,,has functional association with,,1.73898557012074,,CYP21A2 (has functional association with) NOTCH2NLA,,,,,,,false,has functional association with,CYP21A2 (has functional association with) NOTCH2NLA,,
,,,,,,,,,,,,has functional association with,,2.41046875851101,,CYP21A2 (has functional association with) LCE1F,,,,,,,false,has functional association with,CYP21A2 (has functional association with) LCE1F,,
,,,,,,,,,,,,has functional association with,,1.69061615681363,,GPRIN3 (has functional association with) NEXMIF,,,,,,,false,has functional association with,GPRIN3 (has functional association with) NEXMIF,,
,,,,,,,,,,,,has functional association with,,1.70146658722176,,GPRIN3 (has functional association with) SLC35G5,,,,,,,false,has functional association with,GPRIN3 (has functional association with) SLC35G5,,
,,,,,,,,,,,,has functional association with,,2.64794149610281,,MUC3A (has functional association with) MUC4,,,,,,,false,has functional association with,MUC3A (has functional association with) MUC4,,
,,,,,,,,,,,,has functional association with,,2.64794149610281,,MUC3A (has functional association with) MUC6,,,,,,,false,has functional association with,MUC3A (has functional association with) MUC6,,
,,,,,,,,,,,,has functional association with,,2.64794149610281,,MUC3A (has functional association with) MUC16,,,,,,,false,has functional association with,MUC3A (has functional association with) MUC16,,
,,,,,,,,,,,,has functional association with,,2.79349234442268,,MUC3A (has functional association with) GALNT17,,,,,,,false,has functional association with,MUC3A (has functional association with) GALNT17,,
,,,,,,,,,,,,has functional association with,,4.45341449760157,,MUC12 (has functional association with) MUC3A,,,,,,,false,has functional association with,MUC12 (has functional association with) MUC3A,,
,,,,,,,,,,,,has functional association with,,2.64794149610281,,MUC12 (has functional association with) MUC16,,,,,,,false,has functional association with,MUC12 (has functional association with) MUC16,,
,,,,,,,,,,,,has functional association with,,2.64794149610281,,MUC12 (has functional association with) MUC6,,,,,,,false,has functional association with,MUC12 (has functional association with) MUC6,,
,,,,,,,,,,,,has functional association with,,2.64794149610281,,MUC12 (has functional association with) MUC4,,,,,,,false,has functional association with,MUC12 (has functional association with) MUC4,,
,,,,,,,,,,,,has functional association with,,1.50564937332303,,MUC12 (has functional association with) POTEG,,,,,,,false,has functional association with,MUC12 (has functional association with) POTEG,,
,,,,,,,,,,,,has functional association with,,2.58171403978155,,MUC12 (has functional association with) MUC20,,,,,,,false,has functional association with,MUC12 (has functional association with) MUC20,,
,,,,,,,,,,,,has functional association with,,2.79349234442268,,MUC12 (has functional association with) GALNT17,,,,,,,false,has functional association with,MUC12 (has functional association with) GALNT17,,
,,,,,,,,,,,,has functional association with,,1.49456725630119,,GALNT17 (has functional association with) SPTB,,,,,,,false,has functional association with,GALNT17 (has functional association with) SPTB,,
,,,,,,,,,,,,has functional association with,,2.79349234436285,,GALNT17 (has functional association with) MUC16,,,,,,,false,has functional association with,GALNT17 (has functional association with) MUC16,,
,,,,,,,,,,,,has functional association with,,1.73045545726708,,KPRP (has functional association with) KRTAP4-5,,,,,,,false,has functional association with,KPRP (has functional association with) KRTAP4-5,,
,,,,,,,,,,,,has functional association with,,2.07027065334055,,KPRP (has functional association with) RBP3,,,,,,,false,has functional association with,KPRP (has functional association with) RBP3,,
,,,,,,,,,,,,has functional association with,,1.65242169633923,,KPRP (has functional association with) STX17,,,,,,,false,has functional association with,KPRP (has functional association with) STX17,,
,,,,,,,,,,,,has functional association with,,1.86935537687809,,KPRP (has functional association with) KRTAP1-5,,,,,,,false,has functional association with,KPRP (has functional association with) KRTAP1-5,,
,,,,,,,,,,,,has functional association with,,1.68211368680515,,KPRP (has functional association with) ZNF587,,,,,,,false,has functional association with,KPRP (has functional association with) ZNF587,,
,,,,,,,,,,,,has functional association with,,1.61398697469106,,KPRP (has functional association with) NFX1,,,,,,,false,has functional association with,KPRP (has functional association with) NFX1,,
,,,,,,,,,,,,has functional association with,,1.65496441118267,,NLRP4 (has functional association with) UBC,,,,,,,false,has functional association with,NLRP4 (has functional association with) UBC,,
,,,,,,,,,,,,has functional association with,,3.41838236621775,,NLRP4 (has functional association with) DDX41,,,,,,,false,has functional association with,NLRP4 (has functional association with) DDX41,,
,,,,,,,,,,,,has functional association with,,4.11377785044196,,NLRP4 (has functional association with) NLRP9,,,,,,,false,has functional association with,NLRP4 (has functional association with) NLRP9,,
,,,,,,,,,,,,has functional association with,,1.60351416960545,,SF3A3 (has functional association with) SNRNP200,,,,,,,false,has functional association with,SF3A3 (has functional association with) SNRNP200,,
,,,,,,,,,,,,has functional association with,,1.64392647470555,,SF3A3 (has functional association with) DDX41,,,,,,,false,has functional association with,SF3A3 (has functional association with) DDX41,,
,,,,,,,,,,,,has functional association with,,1.53417374054571,,SF3A3 (has functional association with) FANCD2,,,,,,,false,has functional association with,SF3A3 (has functional association with) FANCD2,,
,,,,,,,,,,,,has functional association with,,1.55620570761623,,SF3A3 (has functional association with) U2AF2,,,,,,,false,has functional association with,SF3A3 (has functional association with) U2AF2,,
,,,,,,,,,,,,has functional association with,,3.3107856463649,,SF3A3 (has functional association with) SF3A2,,,,,,,false,has functional association with,SF3A3 (has functional association with) SF3A2,,
,,,,,,,,,,,,has functional association with,,2.00082719851825,,DSPP (has functional association with) CARMIL3,,,,,,,false,has functional association with,DSPP (has functional association with) CARMIL3,,
,,,,,,,,,,,,has functional association with,,2.51776257545848,,DSPP (has functional association with) ITGA2,,,,,,,false,has functional association with,DSPP (has functional association with) ITGA2,,
,,,,,,,,,,,,has functional association with,,3.13230167762405,,FAT2 (has functional association with) CELSR1,,,,,,,false,has functional association with,FAT2 (has functional association with) CELSR1,,
,,,,,,,,,,,,has functional association with,,1.52903672382537,,FAT2 (has functional association with) KRT5,,,,,,,false,has functional association with,FAT2 (has functional association with) KRT5,,
,,,,,,,,,,,,has functional association with,,1.68468464045856,,HLA-DQA2 (has functional association with) RAB7A,,,,,,,false,has functional association with,HLA-DQA2 (has functional association with) RAB7A,,
,,,,,,,,,,,,has functional association with,,2.97965746858941,,HLA-DQA2 (has functional association with) KRAS,,,,,,,false,has functional association with,HLA-DQA2 (has functional association with) KRAS,,
,,,,,,,,,,,,has functional association with,,1.99106427164097,,HLA-DQA2 (has functional association with) CTSF,,,,,,,false,has functional association with,HLA-DQA2 (has functional association with) CTSF,,
,,,,,,,,,,,,has functional association with,,2.90677931835703,,HLA-DQA2 (has functional association with) NRAS,,,,,,,false,has functional association with,HLA-DQA2 (has functional association with) NRAS,,
,,,,,,,,,,,,has functional association with,,1.73019929328893,,HLA-DQA2 (has functional association with) HLA-DQB2,,,,,,,false,has functional association with,HLA-DQA2 (has functional association with) HLA-DQB2,,
,,,,,,,,,,,,has functional association with,,1.65028552978083,,GPC1 (has functional association with) HADHB,,,,,,,false,has functional association with,GPC1 (has functional association with) HADHB,,
,,,,,,,,,,,,has functional association with,,1.66700855398122,,GPC1 (has functional association with) APOB,,,,,,,false,has functional association with,GPC1 (has functional association with) APOB,,
,,,,,,,,,,,,has functional association with,,1.7088267554036,,GPC1 (has functional association with) LAMA3,,,,,,,false,has functional association with,GPC1 (has functional association with) LAMA3,,
,,,,,,,,,,,,has functional association with,,1.73068020787294,,GPC1 (has functional association with) LAMC2,,,,,,,false,has functional association with,GPC1 (has functional association with) LAMC2,,
,,,,,,,,,,,,has functional association with,,1.63659707932889,,GPC1 (has functional association with) RAB7A,,,,,,,false,has functional association with,GPC1 (has functional association with) RAB7A,,
,,,,,,,,,,,,has functional association with,,1.62765185386069,,GPC1 (has functional association with) PLEC,,,,,,,false,has functional association with,GPC1 (has functional association with) PLEC,,
,,,,,,,,,,,,has functional association with,,3.53879374872406,,GPC1 (has functional association with) ENAH,,,,,,,false,has functional association with,GPC1 (has functional association with) ENAH,,
,,,,,,,,,,,,has functional association with,,1.65171052881138,,GPC1 (has functional association with) HLA-A,,,,,,,false,has functional association with,GPC1 (has functional association with) HLA-A,,
,,,,,,,,,,,,has functional association with,,1.57064980782976,,RAPH1 (has functional association with) VCL,,,,,,,false,has functional association with,RAPH1 (has functional association with) VCL,,
,,,,,,,,,,,,has functional association with,,2.05810921747699,,DLX4 (has functional association with) HOXA1,,,,,,,false,has functional association with,DLX4 (has functional association with) HOXA1,,
,,,,,,,,,,,,has functional association with,,2.18588826434006,,DLX4 (has functional association with) DIS3,,,,,,,false,has functional association with,DLX4 (has functional association with) DIS3,,
,,,,,,,,,,,,has functional association with,,2.66832176443105,,OAS3 (has functional association with) TRAF3,,,,,,,false,has functional association with,OAS3 (has functional association with) TRAF3,,
,,,,,,,,,,,,has functional association with,,1.49239009995763,,OAS3 (has functional association with) ZNFX1,,,,,,,false,has functional association with,OAS3 (has functional association with) ZNFX1,,
,,,,,,,,,,,,has functional association with,,2.3968469324932,,OAS3 (has functional association with) SIGLEC1,,,,,,,false,has functional association with,OAS3 (has functional association with) SIGLEC1,,
,,,,,,,,,,,,has functional association with,,1.97198443301505,,RXRB (has functional association with) CACNA1B,,,,,,,false,has functional association with,RXRB (has functional association with) CACNA1B,,
